ID,Type,Age,Sex,PCA_Type,Type/Breed/Species,MC_GL,MC_Bd,MC_DD,MC_Bp,MC_SD,MC_Batf,MC_a,MC_b,MC_c,MC_d,MC_e,MC_f,MC_1,MC_2,MC_3,MC_4,MC_5,MC_6,MC_7,MC_8,MC_9,MC_10,MC_e1,MC_f4,MC_a2,MC_b5,MC_a3,MC_b6,MC_ae2,MC_a8,MC_b10,MC_c8,MC_d10,MC_SDDD,MC_c7,MC_d9,MC_ae3,MC_ae7,MC_c2,MC_d5,MC_a1,MC_b4,MC_a7,MC_b9,MC_BpGL,MC_BatfGL,MC_BdGL
R672,Non-draught,3.5,Female,Chillingham,Chillingham,175,55.59,20.77,53.01,30.14,47.71,26.19,25.37,24.71,23.56,14.59,14.35,22.79,29.33,26.23,21.95,28.96,26.83,23.14,26.51,22.22,26.99,0.640193067,0.653758542,0.89294238,0.876035912,0.998475029,0.945583302,0.395499489,0.987929083,0.93997777,0.932101094,0.872915895,1.45113144,1.067847882,1.060306031,0.442241708,0.501296456,0.8424821,0.813535912,1.14918824,1.155808656,1.131806396,1.141764176,0.302914286,0.272628571,0.317657143
R625,Non-draught,,Male,Chillingham,Chillingham,188,64.21,24.98,64.07,37.33,53.51,30.39,29.81,29.08,27.99,17.73,18.33,25.23,32.96,28.67,24.02,32.41,29.26,25.64,29.36,24.25,30.14,0.702734839,0.763114072,0.922026699,0.919777846,1.059993024,1.018796992,0.384101942,1.035081744,0.989051095,0.990463215,0.928666224,1.494395516,1.134165367,1.154226804,0.441576561,0.49375975,0.882281553,0.863622339,1.20451843,1.241049126,1.18525741,1.229278351,0.340797872,0.28462766,0.341542553
R760,Non-draught,,Male,Chillingham,Chillingham,187,65.24,24.86,63.76,38.46,54.15,30.51,30.56,28.62,29.53,18.28,19.04,25.07,32.15,28.98,24.23,31.76,29.35,25.93,29.55,24.96,30.48,0.729158357,0.785802724,0.948989114,0.962216625,1.052795031,1.041226576,0.380404355,1.03248731,1.002624672,0.968527919,0.968832021,1.547063556,1.103740841,1.183092949,0.422015183,0.471654454,0.890202177,0.929785894,1.216992421,1.261246389,1.176629387,1.224358974,0.340962567,0.289572193,0.348877005
1953.4.22.6,Non-draught,9.6,Male,Chillingham,Chillingham,179,59.63,23.76,60.72,33.66,50.84,29.09,26.63,27.12,24.66,16.27,16.62,24.58,31.67,27.76,24.29,30.69,27.46,24.89,28.46,24.59,27.69,0.66192026,0.684232194,0.918534891,0.867709352,1.047910663,0.969774217,0.404799495,1.022136332,0.961719032,0.952916374,0.890574215,1.416666667,1.089594215,1.002846686,0.461815562,0.515066292,0.856330913,0.803519062,1.183482506,1.096335941,1.168742467,1.082960553,0.339217877,0.284022346,0.333128492
1953.4.22.5,Non-draught,8.1,Male,Chillingham,Chillingham,182,61.32,23.15,58.74,33.89,51.94,28.81,28.59,27.88,27.12,16.76,16.54,24.02,31.42,27.43,23.02,30.67,28.24,24.59,28.78,23.95,28.67,0.697751873,0.718505647,0.916931891,0.932181285,1.05030988,1.012393768,0.383513686,1.001042391,0.997209627,0.968728284,0.945936519,1.463930886,1.133794225,1.132359081,0.439300036,0.4900366,0.887332909,0.884251712,1.199417152,1.24196351,1.171614477,1.193736952,0.322747253,0.285384615,0.336923077
1953.4.22.4,Non-draught,1.5,Female,Chillingham,Chillingham,181,53.29,20.69,51.41,28.27,46.21,25.13,24.74,23.68,23.24,14.68,14.18,22.31,28.82,25.36,21.93,28.15,25.81,22.53,26.11,22.26,26.05,0.658000896,0.646602827,0.871963914,0.878863233,0.990930599,0.9585432,0.36259542,0.962466488,0.949712092,0.90693221,0.892130518,1.366360561,1.051043054,1.044025157,0.412066246,0.46382601,0.821651631,0.825577265,1.126400717,1.128134975,1.115401687,1.111410602,0.284033149,0.255303867,0.29441989
1953.4.22.9,Non-draught,,Unknown,Chillingham,Chillingham,177,52.96,20.33,51.62,28.09,45.32,25.17,24.34,23.47,22.88,15.65,14.55,21.06,27.92,24.51,20.62,26.51,24.63,21.47,25.15,21.78,25.43,0.74311491,0.705625606,0.901504298,0.918144097,1.026927785,0.988225741,0.340974212,1.000795229,0.957137239,0.933200795,0.899724735,1.381701918,1.093153237,1.050505051,0.388412893,0.443409408,0.840616046,0.863070539,1.195156695,1.180407371,1.172333489,1.117539027,0.291638418,0.256045198,0.29920904
1953.4.22.1,Non-draught,,Unknown,Chillingham,Chillingham,,51.42,18.49,49.58,25.33,,25.23,24.21,24.04,21.94,15.17,14.78,20.99,27.67,24.48,19.85,26.81,24.69,20.55,24.97,19.83,24.85,0.722725107,0.744584383,0.911817853,0.903021261,1.030637255,0.980558931,0.363570654,1.010412495,0.974245473,0.962755306,0.882897384,1.369929692,1.169829684,1.106404438,0.410947712,0.489537713,0.868810987,0.818351361,1.202000953,1.219647355,1.227737226,1.220877458,,,
1953.4.22.2,Non-draught,,Unknown,Chillingham,Chillingham,177,54.18,19.32,53.63,28.78,,25.22,24.91,24.04,23.64,15.45,15.07,22.26,28.61,25.78,20.92,27.43,25.66,21.64,26.23,21.47,26.38,0.694070081,0.720363289,0.881509962,0.908129785,0.978277735,0.970771629,0.34148899,0.961494472,0.944275967,0.916507815,0.896133434,1.489648033,1.11090573,1.101071262,0.37897595,0.451478743,0.840265641,0.861830113,1.132973944,1.190726577,1.165434381,1.160223568,0.30299435,0,0.306101695
1981.984,Non-draught,14,Female,Chillingham,Chillingham,183,56.39,21.24,56.76,30.29,48.71,26.77,25.58,25.18,23.84,16.71,15.54,22.11,29.76,26.15,22.04,29.48,26.83,22.78,26.46,22.49,27.05,0.755766621,0.70508167,0.89952957,0.86770692,1.023709369,0.953410362,0.338037634,1.011715797,0.945656192,0.951625094,0.881330869,1.426082863,1.105355575,1.060026679,0.384703633,0.441615452,0.846102151,0.808683853,1.21076436,1.16061706,1.175153644,1.137394398,0.310163934,0.266174863,0.308142077
1981.989,Non-draught,10,Female,Chillingham,Chillingham,186,57.28,21.28,55.43,29.35,49.11,27.34,26.63,25.66,25.04,16.28,16.79,22.25,29.49,25.96,21.85,29.09,26.63,22.92,26.64,21.74,26.99,0.731685393,0.768421053,0.92709393,0.915434857,1.053158706,1,0.375042387,1.026276276,0.986661727,0.963213213,0.927751019,1.379229323,1.119546248,1.151793928,0.426040062,0.482547993,0.870125466,0.860776899,1.228764045,1.218764302,1.192844677,1.224931003,0.298010753,0.264032258,0.307956989
1981.986,Non-draught,14,Female,Chillingham,Chillingham,180,56.42,20.43,52.53,30.32,47.72,26.26,25.93,24.39,24.22,14.92,15.96,22.19,29.17,25.46,21.73,28.69,25.93,22.81,25.81,22.27,26.37,0.672374944,0.734468477,0.900239973,0.903799233,1.031421838,1,0.388755571,1.017435103,0.983314372,0.944982565,0.918467956,1.484092022,1.069267865,1.087561742,0.445404556,0.497150373,0.836133013,0.844196584,1.183415953,1.193281178,1.151249452,1.164346655,0.291833333,0.265111111,0.313444444
1981.985,Non-draught,5,Female,Chillingham,Chillingham,178,54.36,19.89,52.24,29.31,47.51,25.64,24.83,24.28,23.59,15.51,14.63,22.42,29.17,26.05,21.35,28.42,26.11,22.19,26.63,21.84,26.16,0.691793042,0.685245902,0.878985259,0.873680507,0.984261036,0.950976637,0.347274597,0.962823883,0.949159021,0.911753661,0.90175841,1.473604827,1.094186571,1.080128205,0.388867562,0.456511942,0.832362016,0.830049261,1.143621766,1.162997658,1.155475439,1.136904762,0.293483146,0.266910112,0.305393258
1924.4.28.1,Non-draught,12.35,Male,Chartley,Chartley,210,74.55,29.32,75.68,47.55,66.56,35.31,34.31,34.14,32.45,23.72,21.76,29.36,38.26,33.82,27.61,38.07,34.14,31.28,34.27,26.79,35.03,0.807901907,0.788120246,0.922895975,0.901234568,1.044056771,1.004979496,0.302927339,1.030347242,0.979446189,0.996206595,0.926348844,1.621759891,1.091432225,1.211272863,0.342696629,0.370524297,0.892315734,0.8523772,1.202656676,1.242665701,1.128836317,1.280701754,0.360380952,0.316952381,0.355
