ID,Type,Age,Sex,Type/Breed/Species,Side,PH2_Anterior_GLpe,PH2_Anterior_Bp,PH2_Anterior_Dp,PH2_Anterior_Bd,PH2_Bp_GLpe,PH2_Bd_GLpe
265(344),Non-draught,2.9,Female,Murbodener,P,54.16,36.99,41.61,27.72,0.682976366,0.511816839
302(532),Non-draught,,Female,Prättigauer,P,46.71,34.79,38.68,24.19,0.744808392,0.517876258
303(5352),Non-draught,,Female,Prättigauer,P,52.82,38.16,43.71,27.43,0.722453616,0.519310867
351(5353),Non-draught,7.25,Female,Simmental,P,46.45,36.84,38.55,24.53,0.793110872,0.528094726
381(5353),Non-draught,19.6,Female,Vogelsberg,P,44.12,32.95,35.17,24.51,0.746826836,0.555530372
335(5292),Non-draught,7.2,Female,Shorthorn,P,49.46,33.19,34.99,23.15,0.671047311,0.468054994
922,Non-draught,9.13,Female,Devon,P,40.14,28.44,29.99,18.86,0.708520179,0.469855506
886,Non-draught,7.8,Female,Breitenburger,P,37.61,26.42,30.35,19.92,0.702472747,0.529646371
289,Non-draught,7.3,Female,Kerry,P,35.91,25.62,31.31,19.31,0.713450292,0.537733222
629,Non-draught,3.3,Female,Holländer crossbreed,P,46.48,31.71,36.25,23.43,0.682228916,0.50408778
258,Non-draught,,Female,Ayrshire,P,43.77,29.72,34.57,21.61,0.679003884,0.493717158
5353,Non-draught,5.5,Male,Jersey,P,45.89,31.97,34.04,22.29,0.69666594,0.485726738
5325,Non-draught,8.1,Female,Longhorn,P,42.57,31.78,34.82,23.79,0.746535119,0.558844257
539,Non-draught,3,Male,Shorthorn crossbreed,P,51.29,34.97,39.37,25.82,0.68180932,0.503411971
5226,Non-draught,5.6,Female,Devon,P,38.89,26.46,29.47,18.79,0.680380561,0.483157624
1423,Non-draught,7.1,Female,Jersey,P,42.02,29.59,33.16,20.45,0.704188482,0.486673013
633,Non-draught,,Castrated Male,Hungarian Grey,P,43.97,31.83,34.99,22.66,0.723902661,0.515351376
603,Non-draught,5.4,Female,Jersey,P,40.83,26.74,31.36,19.94,0.654910605,0.488366397
1520,Non-draught,3,Female,Jersey,P,40.02,26.55,30.48,20.79,0.663418291,0.519490255
1424,Non-draught,8.2,Female,Jersey,P,39.54,26.29,29.79,19.89,0.664896308,0.503034901
1200,Non-draught,6.9,Female,Unknown,P,46.73,33.17,26.11,22.85,0.709822384,0.488979242
594,Non-draught,,Female,Banteng (Bos javanicus),P,40.68,23.14,30.49,15.67,0.568829892,0.385201573
255,Non-draught,9.5,Female,Hereford,P,50.67,36.11,39.38,25.31,0.712650484,0.499506611
256,Non-draught,9.6,Female,Devon,P,41.62,31.56,32.58,23.83,0.758289284,0.572561269
40(zoo animal),Non-draught,,Female,Watussi,P,41.45,29.69,36.48,21.96,0.71628468,0.529794934
31,Non-draught,,Female,Holstein Friesian,P,47.58,31.87,34.59,24.07,0.669819252,0.505884826
5328(W1),Non-draught,,Female,European bison (Bison bonasus),P,44.58,27.93,34.24,20.66,0.626514132,0.463436519
65,Non-draught,,Male,American bison (Bison bison),P,45.88,33.54,36.62,23.76,0.731037489,0.517872711
612,Non-draught,,Female,American bison (Bison bison),P,44.26,30.88,34.15,21.18,0.697695436,0.478535924
891,Non-draught,3.9,Male,Normande,P,50.12,37.58,38.81,30.11,0.749800479,0.60075818
476,Non-draught,7,Female,Shorthorn crossbreed,P,45.43,30.52,33.54,20.21,0.671802773,0.444860225
1148(644),Non-draught,2.6,Male,Podolian crossbreed,P,46.14,30.61,34.98,23.55,0.663415691,0.510403121
354(582),Non-draught,6.3,Male,Shorthorn crossbreed,P,49.35,33.86,41.78,25.81,0.686119554,0.522998987
1157(645),Non-draught,8.4,Female,Podolian crossbreed,P,45.93,32.19,36.42,24.07,0.700849118,0.52405835
194,Non-draught,7.2,Female,Devon crossbreed,P,42.16,28.39,31.21,20.12,0.673387097,0.477229602
415(557),Non-draught,12.2,Male,Kerry crossbreed,P,39.91,29.79,32.18,21.28,0.746429466,0.533199699
657(546),Non-draught,9.5,Castrated Male,Holländer crossbreed,P,51.87,37.48,32.96,28.41,0.72257567,0.547715442
564(158),Non-draught,11.5,Female,Shorthorn crossbreed,P,45.61,35.25,34.99,27.85,0.77285683,0.610611708
569(209),Non-draught,11.1,Male,Shorthorn crossbreed,P,48.12,37.08,39.31,25.86,0.770573566,0.537406484
556(395),Non-draught,8,Female,Kerry crossbreed,P,43.52,30.25,33.21,21.93,0.695082721,0.50390625
532(316),Non-draught,4,Female,Guernsey crossbreed,P,39.52,25.94,28.14,19.33,0.656376518,0.489119433
555(390),Non-draught,18.3,Female,Kerry crossbreed,P,38.63,27.65,30.01,19.35,0.71576495,0.500906032
579(338),Non-draught,3.6,Male,Shorthorn crossbreed,P,45.99,33.13,35.65,24.79,0.720373994,0.539030224
590(424),Non-draught,10,Male,Shorthorn crossbreed,P,46.54,36.43,39.42,28.29,0.782767512,0.607864203
576(320),Non-draught,4.7,Male,Shorthorn crossbreed,P,52.11,38.26,40.49,27.64,0.734216081,0.530416427
540(571),Non-draught,4.3,Female,Holländer crossbreed,P,46.91,30.74,34.04,22.27,0.655297378,0.474738862
547(734),Non-draught,6.8,Male,Holländer crossbreed,P,47.12,33.92,40.17,24.66,0.719864177,0.523344652
327(259),Non-draught,,Male,Shorthorn crossbreed,P,51.98,39.96,39.47,30.36,0.768757214,0.584070796
592(432),Non-draught,10.3,Female,Shorthorn crossbreed,P,48.62,32.05,37.59,23.88,0.659193747,0.491155903
619(598),Non-draught,5.2,Male,Shorthorn crossbreed,P,48.25,33.71,38.88,26.97,0.69865285,0.558963731
537(516),Non-draught,16.7,Female,Holländer  crossbreed,P,43.55,30.16,33.81,24.36,0.692537313,0.559357061
566(201),Non-draught,6.9,Male,Shorthorn crossbreed,P,51.96,36.83,40.16,24.96,0.708814473,0.480369515
565(161),Non-draught,7,Male,Shorthorn crossbreed,P,43.05,33.68,35.23,23.99,0.782346109,0.557259001
580(339),Non-draught,4.6,Female,Shorthorn crossbreed,P,45.37,33.62,33.38,23.77,0.741018294,0.523914481
572(229),Non-draught,3.6,Male,Shorthorn crossbreed,P,50.11,33.93,41.55,24.49,0.677110357,0.488724805
R671,Non-draught,3.5,Female,Chillingham,P,36.89,25.64,28.33,20.06,0.695039306,0.543778802
