PCA_Type,MT_e1,MT_f4,MT_a2,MT_b5,MT_a3,MT_b6,MT_ae2,MT_a8,MT_b10,MT_c8,MT_d10,MT_SDDD,MT_c7,MT_d9,MT_ae3,MT_ae7,MT_c2,MT_d5,MT_a1,MT_b4,MT_a7,MT_b9,MT_BpGL,MT_BatfGL,MT_BdGL
Non-draught cattle,0.668667917,0.657736905,0.778209038,0.778881635,0.897091723,0.858036273,0.28416967,0.893095768,0.832019406,0.842188991,0.795027289,1.083952212,1.015343306,1.050480769,0.327580697,0.393172229,0.733850846,0.744252058,1.053283302,1.097161136,1.076716532,1.099358974,0.238468085,0.248297872,0.253787234
Non-draught cattle,0.673442907,0.643282898,0.794847328,0.760812582,0.908396947,0.825159915,0.299618321,0.87776607,0.799586777,0.884088514,0.803374656,1.080735412,1.070608252,1.026396832,0.342420938,0.400680561,0.800572519,0.764416776,1.080882353,1.064649243,1.062951935,1.021557413,0.207235023,0.203870968,0.239308756
Non-draught cattle,0.667542214,0.609172078,0.759553696,0.733468677,0.86526851,0.785647717,0.263319386,0.851203501,0.753800298,0.839637387,0.750223547,1.144794846,0.991509782,1.066977533,0.299968224,0.348468069,0.749232915,0.729988399,1.021763602,1.02637987,1.005167959,1.072064434,,,
Non-draught cattle,0.690768691,0.719568567,0.778853503,0.782915361,0.91199284,0.855064194,0.277452229,0.903903016,0.81065729,0.920165582,0.822017852,1.251606979,1.028080608,1.131001116,0.324880668,0.359762141,0.792866242,0.793887147,1.073008073,1.154468413,1.009910803,1.115370301,0.239593496,0.229756098,0.267073171
Non-draught cattle,0.645363409,0.653553867,0.755180108,0.725821896,0.845467523,0.780638517,0.262671342,0.836806782,0.762575453,0.825150124,0.733400402,1.157120127,0.966887417,0.940240757,0.29407566,0.341059603,0.744660504,0.698052984,0.989557226,1.016540009,0.980546358,0.977644024,0.224202899,0.225507246,0.24236715
Non-draught cattle,0.692684634,0.658473955,0.822502685,0.8,0.926497278,0.849795441,0.291084855,0.910523187,0.824263039,0.884958383,0.812641723,1.180423443,1.008468835,1.060281065,0.327888687,0.367208672,0.799409237,0.78872077,1.072103605,1.06676449,1.037601626,1.075443787,0.24695279,0.249742489,0.273090129
Non-draught cattle,0.627600849,0.604306864,0.766784452,0.76182708,0.862044059,0.823633157,0.292001285,0.853109364,0.783031522,0.847390994,0.768947015,1.10488177,0.987094088,1.024575514,0.328277356,0.378434638,0.761644716,0.74812398,1.01358811,1.047554957,0.993755204,1.04334227,0.196950673,0.206098655,0.228430493
Non-draught cattle,0.704624782,0.635191156,0.78688,0.768803139,0.89711784,0.84843017,0.27008,0.87790075,0.843559383,0.857193859,0.827771798,0.997724687,1.085933967,0.963659148,0.307916819,0.381727725,0.76832,0.75441465,1.072862129,1.082911101,1.112166441,0.982038429,0.203688889,0.211066667,0.2304
Non-draught cattle,0.660932722,0.665473349,0.809400974,0.81042516,0.913324709,0.877641123,0.313843508,0.908915352,0.851851852,0.898616028,0.836547291,1.149421488,1.046476762,1.065497076,0.354139715,0.41041979,0.800229292,0.795864881,1.079510703,1.107000796,1.058470765,1.084990253,0.228418803,0.239487179,0.257179487
Non-draught cattle,0.662128713,0.620302376,0.771742543,0.753719531,0.860945709,0.822452504,0.267817896,0.856147684,0.814852841,0.848484848,0.820670773,1.051147048,0.985436893,1.014382403,0.298774081,0.345064725,0.764835165,0.759100981,1.014026403,1.028509719,0.99433657,1.007191201,0.202765957,0.205404255,0.224425532
